source_person_id,source_activity_id,phone_number_to,phone_number_from,call_tracking_number,direction,call_status_code,call_start_datetime,call_end_datetime,call_duration,campaign_id,first_name,last_name,street_address_1,city,state_province,postal_code,gender_code,birth_date,home_phone,primary_email,data_source
1,543772228811,269-800-693,(994) 2458337,1,1,1,2020-10-20 2:03:54,2021-01-10 15:19:52,1,1,1,1,1,1,1,1,1,2021-01-06,346 451 0542,cvasilyevski0@ezinearticles.com,zdnet.com
2,293506986742,313-437-6182,(361) 7791716,2,2,2,2020-09-15 8:24:00,2020-07-28 5:00:32,2,2,2,2,2,2,2,2,2,2020-07-18,368 948 7646,jcattell1@51.la,springer.com
3,749286424815,668-417-8895,(155) 6791925,3,3,3,2021-03-16 14:44:19,2021-06-15 10:04:31,3,3,3,3,3,3,3,3,3,2021-02-01,636 450 8152,nellerington2@drupal.org,lycos.com
4,113934676354,907-877-3720,(480) 3744348,4,4,4,2020-08-26 2:30:19,2021-04-02 16:39:05,4,4,4,4,4,4,4,4,4,2021-06-06,814 149 2177,cmcboyle3@posterou,wp.com
5,173366803005,721-576-6317,(998) 6483980,5,5,5,2021-06-25 14:52:24,2021-01-31 20:39:07,5,5,5,5,5,5,5,5,5,2020-09-07,164 439 1025,sbozworth4@yolasite.com,imgur.com
6,,558-419-4011,(185) 7095163,6,6,6,2020-09-05 3:03:10,2021-06-01 20:00:15,6,6,6,6,6,6,6,6,6,2021-05-19,622 577 7082,gsimpkins5@youku.com,reuters.com
7,414877120167,268-488-8883,(886) 8387517,,7,7,2020-11-10 12:40:03,2021-04-18 15:35:38,7,7,7,7,7,7,7,7,7,2021-03-26,216 300 5020,twickman6@networksolutions.com,1688.com
8,603638878189,914-366-6958,(593) 3647740,8,8,8,2020-08-15 21:13:57,2021-04-08 19:18:41,8,8,8,8,8,8,8,8,8,2021-01-05,622 900 6469,bpyrton7@feedburner.com,icq.com
9,182429042845,778-405-9704,(712) 5995565,9,9,9,,2021-03-05 13:38:31,9,9,9,9,9,9,9,9,9,2020-08-20,846 150 2456,wmonckton8@mediafire.com,ning.com
10,941671218638,325-193-6720,(595) 7345744,10,10,10,2020-10-08 5:40:02,2020-11-05 3:03:56,10,10,10,10,10,10,10,10,10,2021-06-11,763 242 2159,jbirtley9@state.gov,taobao.com
11,368467984745,984-933-9060,(922) 4612584,11,11,11,2021-04-20 4:06:49,2021-05-08 0:19:12,11,11,11,11,11,11,11,11,11,2020-08-29,913 573 0942,yabbissa@google.ru,netvibes.com
12,411323868479,194-612-4997,(205) 9959807,12,12,12,2021-01-21 9:22:58,2020-07-14 8:15:03,12,12,12,12,12,12,12,12,12,2021-02-18,299 594 5791,rsherlawb@europa.eu,ucoz.ru
13,935484905874,819-205-4090,(355) 6289473,13,13,13,2020-12-31 9:16:24,2020-09-05 4:39:46,13,13,13,13,13,13,13,13,13,2021-06-09,814 507 2942,cquinionc@narod.ru,alibaba.com
14,947193512276,292-953-2359,(969) 3396824,14,14,14,2021-02-27 20:21:23,2020-08-31 7:39:59,14,14,14,14,14,14,14,14,14,2021-05-21,184 151 3914,dmerrileesd@eepurl.com,umich.edu
15,455058748407,216-928-0694,(649) 8072414,15,15,15,2021-01-07 23:34:08,2021-01-27 10:29:02,15,15,15,15,15,15,15,15,15,2021-03-30,490 163 1912,kdurkine@newsvine.com,tinyurl.com
